,rpm,amostra_ajustada,tempo
113,4166.67,2022.1804795317641,0.11324425230890157
114,4534.88,2030.9304737867892,0.11424641383375911
115,4534.88,2041.4660773127212,0.11524857535861664
116,4306.22,2053.973333791524,0.11625073688347418
117,4513.89,2068.6250568004575,0.11725289840833171
118,4577.46,2085.4225461466453,0.11825505993318924
119,4556.07,2104.2107981399536,0.11925722145804679
120,4577.46,2124.775237080365,0.12025938298290433
121,4929.58,2146.876060677662,0.12126154450776186
122,4556.07,2170.3714983211808,0.1222637060326194
123,4861.11,2195.280891515351,0.12326586755747693
124,4838.71,2221.6596046364175,0.12426802908233446
125,4838.71,2249.520677507052,0.125270190607192
126,5184.33,2278.8742528161188,0.12627235213204954
127,4772.73,2309.789126953165,0.12727451365690706
128,5136.99,2342.318750202992,0.1282766751817646
