,amostras
714,7097.234249178519
715,7081.827403100189
716,7065.504176370572
717,7048.186135942887
718,7029.681869181971
719,7009.453677060371
720,6986.833774948726
721,6961.419245894024
722,6933.1729916566355
723,6902.182771838665
724,6868.41280241435
725,6831.685706364899
726,6791.913882532422
727,6749.342468633758
728,6704.473420074796
729,6657.812208767105
730,6609.741881620835
731,6560.65701163922
732,6511.065049485657
733,6461.289516313733
734,6411.315593666802
735,6361.054986268746
736,6310.461071804422
737,6259.5415622343135
738,6208.492326550872
739,6157.664993475767
740,6107.3789028196015
741,6057.74077830939
742,6008.514234567496
743,5959.199144100056
744,5909.381418671886
745,5859.125686496213
746,5808.983761274973
747,5759.5419317258265
748,5711.079680461067
749,5663.660819035948
750,5617.298123067087
751,5572.063664976674
752,5528.231149207411
753,5486.266882382533
754,5446.713591463867
755,5410.081893435043
756,5376.663657254465
757,5346.517232549943
758,5319.688496107004
759,5296.134514168183
760,5275.565082278442
761,5257.739415267845
762,5242.658259756915
763,5230.392901071496
764,5221.053755191638
765,5214.94246806998
766,5212.534038191608
767,5214.123423041994
768,5219.594405298796
769,5228.635265176291
770,5240.98789633841
771,5256.485992976397
772,5275.156023849796
773,5297.21062809342
774,5322.585428131895
775,5350.801938118251
776,5381.588728644562
777,5415.168489583921
778,5451.778329176921
779,5491.47705411029
780,5534.42870731073
781,5580.761487128871
782,5630.237030030429
783,5682.353418529956
784,5736.657380499791
785,5792.769057472352
786,5850.112181489223
787,5907.942811310945
788,5965.693765575253
789,6023.1941991797
790,6080.593206283634
791,6137.983251877736
792,6195.181037852958
793,6252.009099742372
794,6308.569975911194
795,6365.017630503927
796,6421.158599531433
797,6476.465911570183
798,6530.463530296871
799,6583.001477179672
800,6634.16970326224
801,6684.0826764404865
802,6732.862138873102
803,6780.579436533627
804,6827.039908129172
805,6871.956585713197
806,6915.3559616848415
807,6957.309125167446
808,6997.2956940135655
809,7034.383648329205
810,7068.010674245209
811,7098.065751003266
812,7124.279562178853
813,7146.134767287701
814,7163.422973274063
815,7176.511217823406
816,7185.886639673787
817,7191.605443075187
818,7193.402302311692
819,7191.113777676508
820,7184.840166003859
821,7174.930359450381
822,7161.892559431208
823,7146.160958084435
824,7127.798278906797
825,7106.557769159813
826,7082.362024559931
827,7055.41261628665
828,7025.759342802601
829,6993.115261156674
830,6957.108217769408
831,6917.667977767591
832,6875.359000367964
833,6831.141081001003
834,6785.7641078857105
835,6739.78104087694
836,6693.736823344602
837,6648.0005806116915
838,6602.934989977668
839,6559.040528969178
840,6516.4976761310245
841,6474.847997780775
842,6433.203627978369
843,6390.688429368281
844,6346.77914821349
845,6301.331009847329
846,6254.651121000951
847,6207.579687174445
848,6160.886694443783
849,6114.607095881292
850,6068.3470814122265
851,6021.864504697558
852,5975.075315076897
853,5927.988004033839
854,5880.87978903996
855,5834.191701123961
856,5788.167105400114
857,5742.846281572803
858,5698.291587355475
859,5654.582631287981
860,5611.829138782506
861,5570.19463969362
862,5529.803434675042
863,5490.925412769133
864,5454.060599904124
865,5419.570393665148
866,5387.4667871381935
867,5357.532850591466
868,5329.523526448197
869,5303.43716234866
870,5279.660290148843
871,5258.74087823462
872,5241.152349570118
873,5227.2098151504
