Tempo,Velocidade RPM
1525904.0,4057.27
1543584.0,4072.4
1561264.0,4089.37
1578944.0,4055.43
1596624.0,4055.43
1614308.0,4088.44
1631984.0,4039.38
1649672.0,4070.56
1667344.0,4074.24
1685032.0,4070.56
1702712.0,4038.46
1720388.0,4073.32
1738072.0,4071.48
1755752.0,4055.43
1773424.0,4057.27
1791104.0,4089.37
1808784.0,4055.43
1826464.0,4055.43
1844144.0,4072.4
1861828.0,4054.51
1879504.0,4056.35
1897184.0,4038.46
1914864.0,4089.37
1932552.0,4036.64
1950224.0,4057.27
1967912.0,4070.56
1985592.0,4055.43
2003264.0,4057.27
2020952.0,4053.6
2038632.0,4072.4
2056304.0,4057.27
2073984.0,4055.43
2091664.0,4072.4
2109352.0,4036.64
2127024.0,4057.27
2144712.0,4070.56
2162392.0,4055.43
2180072.0,4055.43
2197744.0,4057.27
2215432.0,4053.6
2233112.0,4038.46
2250792.0,4055.43
2268464.0,4074.24
2286144.0,4055.43
2303824.0,4038.46
2321504.0,4072.4
2339184.0,4055.43
2356864.0,4055.43
2374548.0,4054.51
2392232.0,4088.44
2409912.0,4055.43
2427592.0,4055.43
2445272.0,4089.37
2462948.0,4056.35
2480624.0,4073.32
2498304.0,4089.37
2515988.0,4071.48
2533664.0,4056.35
2551344.0,4072.4
2569032.0,4070.56
2586712.0,4021.49
2604384.0,4057.27
2622064.0,4072.4
2639744.0,4038.46
2657432.0,4036.64
2675104.0,4074.24
2692784.0,4055.43
2710464.0,4038.46
2728144.0,4055.43
2745832.0,4053.6
2763512.0,4038.46
2781200.0,4053.6
2798864.0,4059.1
2816544.0,4038.46
2834224.0,4038.46
2851904.0,4038.46
2869584.0,4055.43
2887264.0,4021.49
2904952.0,4036.64
2922624.0,4057.27
2940304.0,4021.49
2957984.0,4021.49
2975672.0,4053.6
2993344.0,4023.31
3011032.0,4019.67
3028704.0,4057.27
3046384.0,4038.46
3064072.0,4019.67
3081752.0,4038.46
3099424.0,4074.24
3117104.0,4021.49
3134784.0,4021.49
3152472.0,4036.64
3170152.0,4021.49
3187832.0,4021.49
3205504.0,4040.29
3223192.0,4053.6
3240872.0,4038.46
3258552.0,4038.46
3276232.0,4055.43
3293904.0,4040.29
3311584.0,4021.49
3329272.0,4053.6
3346952.0,4038.46
3364632.0,4021.49
3382312.0,4038.46
3399984.0,4057.27
3417664.0,4004.52
3435344.0,4021.49
3453032.0,4053.6
3470704.0,4040.29
3488384.0,4021.49
3506072.0,4070.56
3523752.0,4072.4
3541432.0,4021.49
3559112.0,4055.43
3576792.0,4072.4
3594464.0,4040.29
3612152.0,4036.64
3629824.0,4074.24
3647520.0,4051.76
3665192.0,4040.29
3682864.0,4074.24
3700552.0,4053.6
3718232.0,4038.46
3735904.0,4057.27
3753584.0,4089.37
3771272.0,4036.64
3788944.0,4057.27
3806632.0,4070.56
3824312.0,4055.43
3841992.0,4038.46
3859672.0,4072.4
3877352.0,4055.43
3895024.0,4057.27
3912720.0,4068.72
3930392.0,4074.24
3948068.0,4039.38
3965752.0,4054.51
3983432.0,4089.37
4001112.0,4055.43
4018784.0,4057.27
4036464.0,4089.37
4054152.0,4070.56
4071832.0,4055.43
4089504.0,4091.22
4107184.0,4089.37
4124864.0,4055.43
4142544.0,4055.43
4160224.0,4089.37
4177912.0,4053.6
4195584.0,4074.24
4213272.0,4087.52
4230952.0,4089.37
4248624.0,4074.24
4266312.0,4070.56
4283992.0,4089.37
4301664.0,4057.27
4319352.0,4053.6
4337024.0,4091.22
4354704.0,4089.37
4372384.0,4055.43
4390072.0,4053.6
4407748.0,4073.32
4425428.0,4072.4
4443104.0,4056.35
4460792.0,4070.56
4478472.0,4038.46
4496144.0,4040.29
4513824.0,4055.43
4531512.0,4019.67
4549184.0,4040.29
4566872.0,4036.64
4584552.0,4055.43
4602232.0,4038.46
4619904.0,4074.24
4637592.0,4070.56
4655272.0,4055.43
4672952.0,4038.46
4690632.0,4055.43
4708304.0,4057.27
4725992.0,4019.67
4743672.0,4038.46
4761352.0,4055.43
4779028.0,4039.38
