Unnamed: 0,amostras,amostra_ajustada
133,5501.6051383805925,2795.3223852204974
134,5582.675954827296,2819.4000596934957
135,5662.90397377889,2843.2274270322705
136,5741.727515107222,2866.6376707191603
137,5818.640613735049,2889.480521360585
138,5893.126231852492,2911.6024210102682
139,5964.748534345148,2932.873928563895
140,6033.496841003396,2953.291872046373
141,6099.739804490064,2972.965739670578
142,6163.901862356712,2992.0215875149925
143,6226.562556300735,3010.6315369044646
144,6288.481210397287,3029.021103736113
145,6350.083027500966,3047.3165713800418
146,6411.051434378287,3065.4239189839045
147,6470.487703280304,3083.076228375079
148,6527.434188073545,3099.9890828809243
149,6581.303538053265,3115.9880419358933
150,6631.80349178999,3130.986305186069
151,6678.642409553522,3144.897256919474
152,6721.6105538865895,3157.6586060375075
153,6760.768572154085,3169.288364539721
154,6796.252423022327,3179.826911549613
155,6827.988087921976,3189.2522638789596
156,6855.753353844787,3197.4984252456106
157,6879.461599520462,3204.539669514811
158,6899.3082638173655,3210.4340411674
159,6915.5742314628615,3215.264961727008
160,6928.367795863487,3219.0645938571483
161,6937.873743653979,3221.887818372313
162,6944.697399910746,3223.914414147059
163,6949.457987263272,3225.3282875678324
164,6952.185541109273,3226.1383590151177
165,6952.543927895084,3226.2447983078546
166,6950.464290298252,3225.627155125351
167,6946.215575497194,3224.3653055919153
168,6940.053796837268,3222.535284540556
169,6932.021562406084,3220.1497463851338
170,6921.884014466681,3217.1389394149114
171,6909.1623083394725,3213.360648874647
172,6893.278290224169,3208.643165638803
173,6873.628815090355,3202.8073582968573
174,6849.692488361607,3195.698374962108
175,6821.325763111112,3187.273582831201
176,6788.880762938848,3177.637561058339
177,6752.901929471156,3166.9520064022713
178,6713.952576448121,3155.384220556189
179,6672.753437913564,3143.1482583483194
180,6630.037767325037,3130.4618928174814
181,6586.278492390752,3117.4655814045473
182,6541.755668452926,3104.242499309423
183,6496.649484206572,3090.8461617788053
184,6451.073532455966,3077.310305373935
185,6405.137164997143,3063.667407095333
186,6358.768503486127,3049.896119392257
187,6311.542290578347,3035.870142711319
188,6262.92534103036,3021.431123389784
189,6212.82410943943,3006.5512788561377
190,6161.88698631116,2991.4231782272295
191,6111.043880737879,2976.3230003969675
192,6060.863255600571,2961.4195763306525
193,6011.406489748275,2946.7311352753964
194,5962.35156805084,2932.162040159576
195,5913.392959554133,2917.621549639049
196,5864.680278606404,2903.154098514544
197,5816.627969737499,2888.882774981222
198,5769.377608653204,2874.849626398499
199,5722.711803204663,2860.9900882581755
200,5676.370636632333,2847.2269664304704
201,5630.20077952263,2833.514722756656
202,5584.253990382439,2819.8687292847108
203,5538.97962840608,2806.4224437109606
204,5495.012995565513,2793.364547915561
205,5452.731204346886,2780.807042641556
206,5412.171484046685,2768.760984825596
207,5373.159846534896,2757.1747007614044
208,5335.473747845191,2745.9820958737437
209,5299.16354472681,2735.1981258947617
210,5264.765535161885,2724.98206895684
211,5233.076357337476,2715.570523083552
212,5204.863827761496,2707.1915263870424
213,5180.762321315087,2700.0334854055877
214,5161.091320162212,2694.1912849310397
215,5145.787938703178,2689.646248217996
216,5134.574585917552,2686.3159319592387
217,5127.080854179034,2684.0903267254903
218,5122.883716157887,2682.8437952679237
219,5121.525922414138,2682.4405365220973
220,5122.487111433449,2682.7260054161866
221,5125.295870578526,2683.560194478692
222,5129.957655269376,2684.944723945264
223,5137.137687587273,2687.077161836395
224,5147.73294398378,2690.2239061971204
225,5162.446856036602,2694.593873099638
226,5181.622093078929,2700.288833822665
227,5205.118195981719,2707.267072625149
228,5232.435682847559,2715.3802455892883
229,5263.196490786273,2724.51606970624
230,5297.328288586927,2734.653062925774
231,5334.617412772748,2745.727768138835
232,5374.5545061253215,2757.588908500893
233,5416.809714907887,2770.138518908777
234,5461.430950778636,2783.3908289133897
235,5508.493712638363,2797.368261354861
236,5557.865821633815,2812.031559697482
237,5609.424674325689,2827.3443112612003
238,5663.094659995395,2843.2840599964948
239,5718.452148624207,2859.72498965857
240,5774.805856686144,2876.4617920929413
241,5831.814451923529,2893.393093126416
242,5889.529469849632,2910.5341985788505
243,5947.918078322276,2927.8753574490083
244,6006.818282977302,2945.3684581261055
245,6066.13492693976,2962.985239438499
246,6125.739293055556,2980.6874729598426
247,6185.265659125335,2998.3665408119705
248,6244.072127874664,3015.8318023390166
249,6301.485582914458,3032.8833449459307
250,6357.200131168679,3049.430319739964
251,6411.3865440280215,3065.523445070019
252,6464.470661233342,3081.2891934586078
