Tempo,Velocidade RPM,amostra_ajustada
2.639744,4038.46,3764.3163649635035
2.657432,4036.64,3762.619912408759
2.6751039999999997,4074.24,3797.6675036496345
2.692784,4055.43,3780.1343868613135
2.710464,4038.46,3764.3163649635035
2.728144,4055.43,3780.1343868613135
2.745832,4053.6,3778.4286131386857
2.763512,4038.46,3764.3163649635035
2.7811999999999997,4053.6,3778.4286131386857
2.798864,4059.1,3783.555255474452
2.816544,4038.46,3764.3163649635035
2.834224,4038.46,3764.3163649635035
2.8519039999999998,4038.46,3764.3163649635035
2.8695839999999997,4055.43,3780.1343868613135
2.887264,4021.49,3748.498343065693
2.9049519999999998,4036.64,3762.619912408759
2.922624,4057.27,3781.8494817518244
2.940304,4021.49,3748.498343065693
2.9579839999999997,4021.49,3748.498343065693
2.975672,4053.6,3778.4286131386857
2.993344,4023.31,3750.1947956204376
3.0110319999999997,4019.67,3746.801890510949
3.028704,4057.27,3781.8494817518244
3.0463839999999998,4038.46,3764.3163649635035
3.064072,4019.67,3746.801890510949
3.081752,4038.46,3764.3163649635035
3.099424,4074.24,3797.6675036496345
3.117104,4021.49,3748.498343065693
3.134784,4021.49,3748.498343065693
3.152472,4036.64,3762.619912408759
3.170152,4021.49,3748.498343065693
3.1878319999999998,4021.49,3748.498343065693
3.205504,4040.29,3766.0221386861313
3.223192,4053.6,3778.4286131386857
3.240872,4038.46,3764.3163649635035
3.258552,4038.46,3764.3163649635035
3.276232,4055.43,3780.1343868613135
3.293904,4040.29,3766.0221386861313
3.311584,4021.49,3748.498343065693
3.329272,4053.6,3778.4286131386857
3.346952,4038.46,3764.3163649635035
3.364632,4021.49,3748.498343065693
3.3823119999999998,4038.46,3764.3163649635035
3.399984,4057.27,3781.8494817518244
3.417664,4004.52,3732.680321167883
3.4353439999999997,4021.49,3748.498343065693
3.453032,4053.6,3778.4286131386857
3.470704,4040.29,3766.0221386861313
3.488384,4021.49,3748.498343065693
3.5060719999999996,4070.56,3794.237313868613
3.523752,4072.4,3795.952408759124
3.541432,4021.49,3748.498343065693
3.559112,4055.43,3780.1343868613135
3.5767919999999997,4072.4,3795.952408759124
3.594464,4040.29,3766.0221386861313
3.612152,4036.64,3762.619912408759
3.6298239999999997,4074.24,3797.6675036496345
3.6475199999999997,4051.76,3776.713518248175
3.665192,4040.29,3766.0221386861313
3.682864,4074.24,3797.6675036496345
3.7005519999999996,4053.6,3778.4286131386857
3.718232,4038.46,3764.3163649635035
3.7359039999999997,4057.27,3781.8494817518244
3.753584,4089.37,3811.770430656934
3.7712719999999997,4036.64,3762.619912408759
3.788944,4057.27,3781.8494817518244
3.806632,4070.56,3794.237313868613
3.824312,4055.43,3780.1343868613135
3.841992,4038.46,3764.3163649635035
3.8596719999999998,4072.4,3795.952408759124
3.8773519999999997,4055.43,3780.1343868613135
3.895024,4057.27,3781.8494817518244
3.9127199999999998,4068.72,3792.522218978102
3.930392,4074.24,3797.6675036496345
3.9480679999999997,4039.38,3765.173912408759
3.9657519999999997,4054.51,3779.2768394160585
3.9834319999999996,4089.37,3811.770430656934
4.001112,4055.43,3780.1343868613135
4.018784,4057.27,3781.8494817518244
4.036464,4089.37,3811.770430656934
4.054152,4070.56,3794.237313868613
4.071832,4055.43,3780.1343868613135
4.089504,4091.22,3813.494846715328
4.107184,4089.37,3811.770430656934
4.124864,4055.43,3780.1343868613135
4.142544,4055.43,3780.1343868613135
4.1602239999999995,4089.37,3811.770430656934
4.177912,4053.6,3778.4286131386857
4.195584,4074.24,3797.6675036496345
4.213272,4087.52,3810.04601459854
4.230951999999999,4089.37,3811.770430656934
4.2486239999999995,4074.24,3797.6675036496345
4.266312,4070.56,3794.237313868613
4.283992,4089.37,3811.770430656934
4.301664,4057.27,3781.8494817518244
4.319351999999999,4053.6,3778.4286131386857
4.3370239999999995,4091.22,3813.494846715328
4.354704,4089.37,3811.770430656934
4.372383999999999,4055.43,3780.1343868613135
4.390072,4053.6,3778.4286131386857
4.407748,4073.32,3796.8099562043794
4.425428,4072.4,3795.952408759124
4.443104,4056.35,3780.991934306569
4.460792,4070.56,3794.237313868613
4.478472,4038.46,3764.3163649635035
4.496144,4040.29,3766.0221386861313
4.513824,4055.43,3780.1343868613135
4.531512,4019.67,3746.801890510949
4.5491839999999995,4040.29,3766.0221386861313
4.566872,4036.64,3762.619912408759
4.5845519999999995,4055.43,3780.1343868613135
4.602232,4038.46,3764.3163649635035
4.619904,4074.24,3797.6675036496345
4.637592,4070.56,3794.237313868613
4.655272,4055.43,3780.1343868613135
4.6729519999999996,4038.46,3764.3163649635035
4.690632,4055.43,3780.1343868613135
4.708304,4057.27,3781.8494817518244
4.725992,4019.67,3746.801890510949
4.743672,4038.46,3764.3163649635035
4.761352,4055.43,3780.1343868613135
4.779027999999999,4039.38,3765.173912408759
4.796704,4039.38,3765.173912408759
4.8143839999999996,4072.4,3795.952408759124
4.832064,4038.46,3764.3163649635035
4.849752,4019.67,3746.801890510949
4.867432,4072.4,3795.952408759124
4.885104,4074.24,3797.6675036496345
4.902784,4055.43,3780.1343868613135
4.920472,4053.6,3778.4286131386857
4.938143999999999,4074.24,3797.6675036496345
4.955832,4053.6,3778.4286131386857
4.9735119999999995,4072.4,3795.952408759124
4.991192,4072.4,3795.952408759124
5.008872,4055.43,3780.1343868613135
5.0265439999999995,4057.27,3781.8494817518244
5.044239999999999,4068.72,3792.522218978102
5.061904,4059.1,3783.555255474452
5.079584,4038.46,3764.3163649635035
5.097271999999999,4053.6,3778.4286131386857
5.114952,4072.4,3795.952408759124
5.132632,4038.46,3764.3163649635035
5.150303999999999,4057.27,3781.8494817518244
5.167992,4070.56,3794.237313868613
5.185671999999999,4055.43,3780.1343868613135
5.2033439999999995,4040.29,3766.0221386861313
5.221032,4070.56,3794.237313868613
5.238712,4055.43,3780.1343868613135
